Region,Category,Name,Price,Image URL,Link
UK,Tables,,45,https://www.ikea.com/gb/en/images/products/micke-desk-white__0736022_pe740349_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/micke-desk-white-30213076/
UK,Tables,,179,https://www.ikea.com/gb/en/images/products/jaervfjaellet-office-chair-with-armrests-glose-black__1009906_pe827773_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/jaervfjaellet-office-chair-with-armrests-glose-black-20510642/
UK,Tables,,35,https://www.ikea.com/gb/en/images/products/vittsjoe-laptop-table-black-brown-glass__0736023_pe740350_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/vittsjoe-laptop-table-black-brown-glass-80221352/
UK,Tables,"Previous price: £129
£ 129",99,https://www.ikea.com/gb/en/images/products/alex-desk-white__0977658_pe813725_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/alex-desk-white-10473555/
UK,Tables,,99,https://www.ikea.com/gb/en/images/products/alex-drawer-unit-with-9-drawers-white__0977781_pe813766_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/alex-drawer-unit-with-9-drawers-white-90486139/
UK,Tables,,99,https://www.ikea.com/gb/en/images/products/alex-drawer-unit-with-9-drawers-white-stained-oak-effect__0977782_pe813767_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/alex-drawer-unit-with-9-drawers-white-stained-oak-effect-60473534/
UK,Tables,"Previous price: £129
£ 129",99,https://www.ikea.com/gb/en/images/products/alex-desk-white-stained-oak-effect__0977659_pe813726_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/alex-desk-white-stained-oak-effect-50473558/
UK,Tables,,179,https://www.ikea.com/gb/en/images/products/jaervfjaellet-office-chair-with-armrests-grann-white__1078845_pe857303_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/jaervfjaellet-office-chair-with-armrests-grann-white-00521854/
UK,Tables,"Previous price: £179
£ 179",129,https://www.ikea.com/gb/en/images/products/alex-desk-white__0977666_pe813729_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/alex-desk-white-80483438/
UK,Tables,"Previous price: £179
£ 179",129,https://www.ikea.com/gb/en/images/products/alex-desk-white-stained-oak-effect__0977670_pe813730_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/alex-desk-white-stained-oak-effect-60473529/
UK,Tables,,89,https://www.ikea.com/gb/en/images/products/malm-dressing-table-white__1400013_pe968487_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/malm-dressing-table-white-10203610/
UK,Tables,,165,https://www.ikea.com/gb/en/images/products/lagkapten-alex-desk-white__1022432_pe832720_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/lagkapten-alex-desk-white-s99431982/
UK,Tables,,70,https://www.ikea.com/gb/en/images/products/alex-drawer-unit-white__0977775_pe813763_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/alex-drawer-unit-white-00473546/
UK,Tables,,75,https://www.ikea.com/gb/en/images/products/micke-desk-white__0736018_pe740345_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/micke-desk-white-80213074/
UK,Tables,,45,https://www.ikea.com/gb/en/images/products/micke-desk-white__0736022_pe740349_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/micke-desk-white-30213076/
UK,Tables,,50,https://www.ikea.com/gb/en/images/products/kallax-desk-white__1327543_pe944490_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/kallax-desk-white-30582445/
UK,Tables,,95,https://www.ikea.com/gb/en/images/products/lagkapten-alex-desk-white__0977483_pe813612_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/lagkapten-alex-desk-white-s69416817/
UK,Tables,,115,https://www.ikea.com/gb/en/images/products/micke-desk-white__0736576_pe740630_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/micke-desk-white-s09903014/
UK,Tables,,25,https://www.ikea.com/gb/en/images/products/linnmon-adils-table-white__0737165_pe740925_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/linnmon-adils-table-white-s29932181/
UK,Tables,,165,https://www.ikea.com/gb/en/images/products/lagkapten-alex-desk-white-stained-oak-effect-white__1022010_pe832396_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/lagkapten-alex-desk-white-stained-oak-effect-white-s49432026/
UK,Tables,,35,https://www.ikea.com/gb/en/images/products/lagkapten-table-top-white-stained-oak-effect__0977885_pe813907_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/lagkapten-table-top-white-stained-oak-effect-30460830/
UK,Beds,,8,https://www.ikea.com/gb/en/images/products/vesken-trolley-white__0832009_pe777548_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/vesken-trolley-white-00471222/
UK,Beds,,329,https://www.ikea.com/gb/en/images/products/tornviken-kitchen-island-off-white-oak__0736817_pe740760_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/tornviken-kitchen-island-off-white-oak-40391657/
UK,Beds,,35,https://www.ikea.com/gb/en/images/products/raskog-trolley-white__0503386_pe632627_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/raskog-trolley-white-20382932/
UK,Beds,,30,https://www.ikea.com/gb/en/images/products/nissafors-trolley-black__0672522_pe716744_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/nissafors-trolley-black-20399777/
UK,Beds,,479,https://www.ikea.com/gb/en/images/products/vadholma-kitchen-island-black-oak__0736820_pe740762_s5.jpg?f=xxs,https://www.ikea.com/gb/en/p/vadholma-kitchen-island-black-oak-20359154/
